"subj","trial","fixX"
"12","Unmodified left 1",637
"4","Unmodified left 1",643
"7","Unmodified left 1",654
"10","Unmodified left 10",644
"11","Unmodified left 10",646
"4","Unmodified left 10",641
"8","Unmodified left 10",599
"12","Unmodified left 100",635
"13","Unmodified left 100",628
"15","Unmodified left 100",620
"7","Unmodified left 100",644
"10","Unmodified left 101",646
"4","Unmodified left 101",644
"6","Unmodified left 101",633
"16","Unmodified left 102",638
"11","Unmodified left 103",650
"9","Unmodified left 103",684
"11","Unmodified left 104",643
"12","Unmodified left 104",647
"4","Unmodified left 104",650
"9","Unmodified left 104",683
"10","Unmodified left 105",649
"12","Unmodified left 105",626
"15","Unmodified left 105",616
"9","Unmodified left 106",681
"12","Unmodified left 107",640
"13","Unmodified left 107",635
"11","Unmodified left 108",658
"4","Unmodified left 108",638
"13","Unmodified left 109",642
"1","Unmodified left 11",636
"10","Unmodified left 111",652
"16","Unmodified left 111",603
"8","Unmodified left 111",635
"10","Unmodified left 112",647
"1","Unmodified left 113",683
"10","Unmodified left 113",644
"6","Unmodified left 113",625
"9","Unmodified left 113",677
"12","Unmodified left 114",634
"16","Unmodified left 114",636
"9","Unmodified left 114",681
"11","Unmodified left 115",658
"12","Unmodified left 115",636
"15","Unmodified left 115",632
"6","Unmodified left 115",639
"13","Unmodified left 116",641
"6","Unmodified left 116",627
"9","Unmodified left 116",677
"1","Unmodified left 117",632
"13","Unmodified left 117",646
"1","Unmodified left 118",614
"11","Unmodified left 118",653
"12","Unmodified left 118",623
"13","Unmodified left 118",640
"1","Unmodified left 119",677
"12","Unmodified left 119",650
"13","Unmodified left 119",651
"16","Unmodified left 119",640
"6","Unmodified left 119",630
"15","Unmodified left 12",628
"6","Unmodified left 12",636
"11","Unmodified left 121",647
"8","Unmodified left 121",634
"9","Unmodified left 121",696
"10","Unmodified left 122",640
"15","Unmodified left 122",636
"6","Unmodified left 122",637
"7","Unmodified left 122",649
"8","Unmodified left 122",728
"9","Unmodified left 122",680
"11","Unmodified left 123",653
"12","Unmodified left 123",633
"4","Unmodified left 123",637
"7","Unmodified left 123",630
